created_at,favorite_count,favourites_count,followers_count,retweet_count,tweet_id
2017-04-05 17:00:34,0,132501,6197749,5407,849668094696017920
2017-04-05 00:04:08,16802,132501,6197749,3417,849412302885593088
2017-04-04 19:03:06,12083,132501,6197748,2057,849336543269576704
2017-04-04 00:12:06,44781,132501,6197748,9325,849051919805034497
2017-04-03 00:16:10,26710,132501,6197748,4719,848690551926992896
2017-04-02 00:03:26,26247,132501,6197748,5027,848324959059550208
2017-04-01 16:41:12,8673,132501,6197749,815,848213670039564288
2017-04-01 16:35:01,17332,132501,6197749,3365,848212111729840128
2017-04-01 01:08:10,0,132501,6197749,3566,847978865427394560
2017-04-01 00:39:12,0,132501,6197749,469,847971574464610304
2017-04-01 00:04:17,24896,132501,6197750,5617,847962785489326080
2017-03-31 16:07:33,5836,132501,6197750,1478,847842811428974592
2017-03-31 01:11:22,7435,132501,6197750,458,847617282490613760
2017-03-31 00:27:14,19893,132501,6197750,3697,847606175596138505
2017-03-30 00:56:03,21671,132501,6197750,4685,847251039262605312
2017-03-29 18:43:12,21227,132501,6197750,6424,847157206088847362
2017-03-29 16:00:12,22758,132501,6197751,3499,847116187444137987
2017-03-29 00:01:05,21355,132501,6197751,4319,846874817362120707
2017-03-28 00:07:32,47565,132501,6197752,12749,846514051647705089
2017-03-27 23:35:28,15056,132501,6197752,3408,846505985330044928
2017-03-27 00:15:53,33805,132501,6197752,9961,846153765933735936
2017-03-26 23:20:02,32757,132501,6197752,10760,846139713627017216
2017-03-26 16:55:29,17015,132501,6197752,3156,846042936437604353
2017-03-26 01:38:00,31204,132501,6197752,9634,845812042753855489
2017-03-25 16:45:08,26738,132501,6197752,5242,845677943972139009
2017-03-24 22:08:59,8115,132501,6197752,2013,845397057150107648
2017-03-24 16:10:40,24848,132501,6197752,5924,845306882940190720
2017-03-24 02:22:04,0,132501,6197752,8446,845098359547420673
2017-03-23 18:29:57,14526,132501,6197752,2848,844979544864018432
2017-03-23 18:07:10,16116,132501,6197752,3535,844973813909606400
2017-03-23 00:18:10,41329,132501,6197752,11376,844704788403113984
2017-03-22 16:04:20,17558,132501,6197752,3445,844580511645339650
2017-03-21 16:26:50,14533,132501,6197752,2408,844223788422217728
2017-03-21 00:22:10,16096,132501,6197752,3213,843981021012017153
2017-03-20 16:08:44,22839,132501,6197752,5096,843856843873095681
2017-03-19 23:25:35,18027,132501,6197752,3010,843604394117681152
2017-03-18 22:59:54,22953,132501,6197752,6677,843235543001513987
2017-03-17 21:13:10,16214,132501,6197753,3937,842846295480000512
2017-03-17 15:51:22,7206,132501,6197753,1412,842765311967449089
2017-03-17 00:38:32,19327,132501,6197753,3846,842535590457499648
2017-03-16 00:00:07,26189,132501,6197753,6404,842163532590374912
2017-03-15 20:48:07,14987,132501,6197753,3322,842115215311396866
2017-03-15 02:10:39,0,132501,6197753,17015,841833993020538882
2017-03-14 16:01:03,27412,132501,6197753,8547,841680585030541313
2017-03-14 00:04:30,13526,132501,6197753,4068,841439858740625411
2017-03-13 16:08:50,21100,132501,6197753,5976,841320156043304961
2017-03-13 15:47:01,17000,132501,6197753,5187,841314665196081154
2017-03-13 00:02:39,24541,132501,6197753,5852,841077006473256960
2017-03-12 03:07:56,0,132501,6197753,1939,840761248237133825
2017-03-12 00:59:17,0,132501,6197753,17853,840728873075638272
2017-03-11 22:59:09,195,132501,6197753,3,840698636975636481
2017-03-11 22:51:24,13178,132501,6197753,1092,840696689258311684
2017-03-11 18:35:42,9617,132501,6197753,1939,840632337062862849
2017-03-11 01:15:58,17645,132501,6197753,5040,840370681858686976
2017-03-10 18:27:58,20647,132501,6197753,6338,840268004936019968
2017-03-10 00:04:21,14397,132501,6197753,2545,839990271299457024
2017-03-08 18:52:12,29535,132501,6197753,8610,839549326359670784
2017-03-08 01:44:07,0,132501,6197753,157,839290600511926273
2017-03-07 22:22:32,29187,132501,6197754,7251,839239871831150596
2017-03-07 03:22:35,21038,132501,6197755,4409,838952994649550848
2017-03-07 01:17:48,11992,132501,6197755,2295,838921590096166913
2017-03-07 00:57:32,0,132501,6197755,37,838916489579200512
2017-03-06 19:21:35,0,132501,6197755,12297,838831947270979586
2017-03-06 01:26:54,11714,132501,6197755,1470,838561493054533637
2017-03-05 19:48:43,24278,132501,6197755,5339,838476387338051585
2017-03-05 01:36:26,0,132501,6197755,11235,838201503651401729
2017-03-04 22:12:52,1800,132501,6197755,359,838150277551247360
2017-03-04 17:56:49,149,132501,6197755,0,838085839343206401
2017-03-04 17:49:08,18925,132501,6197755,3487,838083903487373313
2017-03-04 00:21:08,36755,132501,6197755,8725,837820167694528512
2017-03-03 01:58:22,4134,132501,6197755,489,837482249356513284
2017-03-03 01:14:41,13770,132501,6197755,2563,837471256429613056
2017-03-02 18:17:34,22691,132501,6197755,5874,837366284874571778
2017-03-02 01:20:01,17215,132501,6197755,2662,837110210464448512
2017-03-01 17:22:13,13672,132501,6197755,2552,836989968035819520
2017-03-01 01:42:39,20697,132501,6197755,5121,836753516572119041
2017-02-28 20:41:37,13557,132501,6197755,2461,836677758902222849
2017-02-28 18:46:45,0,132501,6197755,614,836648853927522308
2017-02-28 02:09:08,0,132501,6197755,30637,836397794269200385
2017-02-28 01:00:19,15823,132501,6197756,3264,836380477523124226
2017-02-27 17:01:56,22828,132501,6197756,4757,836260088725786625
2017-02-26 23:52:43,20572,132501,6197756,4803,836001077879255040
2017-02-26 02:57:52,0,132501,6197756,9109,835685285446955009
2017-02-25 19:37:50,19164,132501,6197756,4027,835574547218894849
2017-02-25 17:06:32,0,132501,6197756,1890,835536468978302976
2017-02-25 02:03:02,0,132501,6197756,23429,835309094223372289
2017-02-25 01:18:40,17628,132501,6197756,3318,835297930240217089
2017-02-24 23:04:14,8363,132501,6197756,1890,835264098648616962
2017-02-24 21:54:03,2238,132501,6197756,81,835246439529840640
2017-02-24 17:01:22,28119,132501,6197757,6386,835172783151792128
2017-02-24 15:40:31,24170,132501,6197757,3367,835152434251116546
2017-02-24 01:03:08,11665,132501,6197757,1834,834931633769889797
2017-02-23 15:25:23,22670,132501,6197757,6055,834786237630337024
2017-02-23 01:22:14,14769,132501,6197757,2813,834574053763584002
2017-02-22 18:59:48,0,132501,6197757,11882,834477809192075265
2017-02-22 17:41:18,10335,132501,6197758,1865,834458053273591808
2017-02-22 01:14:30,22213,132501,6197758,5333,834209720923721728
2017-02-21 22:26:07,16951,132501,6197758,4037,834167344700198914
2017-02-21 17:18:39,10823,132501,6197758,2366,834089966724603904
